bench,old_site_id,fresh_site_id,bit_index,trial,final_result,exit_code,due_reason,dump_exists,dump_sha256,compare_status,first_mismatch,stdout,stderr,trace_dir,notes
matrix-rotate,17,17,31,1,DUE,134,signal_or_crash_gpu_fault,False,,no_dump,,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP001_matrix-rotate_site17_bit31_trial1.out,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP001_matrix-rotate_site17_bit31_trial1.err,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP001_matrix-rotate_site17_bit31_trial1,screen_id=SUP001;mapping=unchanged;candidate_final=DUE;reproducible=True;NVIDIA SDC;full_trace_dir=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/trace_site17_bit31;dump_path=;due_reason_reviewed=1
matrix-rotate,17,17,31,2,DUE,134,signal_or_crash_gpu_fault,False,,no_dump,,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP001_matrix-rotate_site17_bit31_trial2.out,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP001_matrix-rotate_site17_bit31_trial2.err,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP001_matrix-rotate_site17_bit31_trial2,screen_id=SUP001;mapping=unchanged;candidate_final=DUE;reproducible=True;NVIDIA SDC;full_trace_dir=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/trace_site17_bit31_trial2;dump_path=;due_reason_reviewed=1
matrix-rotate,17,17,13,1,SDC,0,,True,3baaad7c79acb29c65647e653ba9ddf31502579ae1ee0d6e28c119dbc2460357,fail,0,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP002_matrix-rotate_site17_bit13_trial1.out,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP002_matrix-rotate_site17_bit13_trial1.err,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP002_matrix-rotate_site17_bit13_trial1,screen_id=SUP002;mapping=unchanged;candidate_final=SDC;reproducible=True;NVIDIA DUE;full_trace_dir=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/trace_site17_bit13;dump_path=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/matrix-rotate_site17_bit13.bin
matrix-rotate,17,17,13,2,SDC,0,,True,3baaad7c79acb29c65647e653ba9ddf31502579ae1ee0d6e28c119dbc2460357,fail,0,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP002_matrix-rotate_site17_bit13_trial2.out,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP002_matrix-rotate_site17_bit13_trial2.err,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP002_matrix-rotate_site17_bit13_trial2,screen_id=SUP002;mapping=unchanged;candidate_final=SDC;reproducible=True;NVIDIA DUE;full_trace_dir=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/trace_site17_bit13_trial2;dump_path=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/matrix-rotate_site17_bit13_trial2.bin
layout,16,16,0,1,MASKED,0,,True,549acc32558672b6707ee3e49d6ae9f9bbd61909abf11b060c98878f4efa7fb8,pass,,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP003_layout_site16_bit0_trial1.out,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP003_layout_site16_bit0_trial1.err,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP003_layout_site16_bit0_trial1,screen_id=SUP003;mapping=unchanged;candidate_final=MASKED;reproducible=True;NVIDIA DUE;full_trace_dir=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/layout/trace_site16_bit0;dump_path=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/layout/layout_site16_bit0.bin
layout,16,16,0,2,MASKED,0,,True,549acc32558672b6707ee3e49d6ae9f9bbd61909abf11b060c98878f4efa7fb8,pass,,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP003_layout_site16_bit0_trial2.out,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP003_layout_site16_bit0_trial2.err,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP003_layout_site16_bit0_trial2,screen_id=SUP003;mapping=unchanged;candidate_final=MASKED;reproducible=True;NVIDIA DUE;full_trace_dir=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/layout/trace_site16_bit0_trial2;dump_path=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/layout/layout_site16_bit0_trial2.bin
dense-embedding,192,192,0,1,SDC,0,,True,a52a7e4950381e67f654b03199bab54fd7590a7c7ca046863e4e14beeee37454,fail,61440016,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP010_dense-embedding_site192_bit0_trial1.out,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP010_dense-embedding_site192_bit0_trial1.err,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP010_dense-embedding_site192_bit0_trial1,screen_id=SUP010;mapping=unchanged;candidate_final=SDC;reproducible=True;NVIDIA MASKED;full_trace_dir=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/dense-embedding/trace_site192_bit0;dump_path=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/dense-embedding/dense-embedding_site192_bit0.bin
dense-embedding,192,192,0,2,SDC,0,,True,a52a7e4950381e67f654b03199bab54fd7590a7c7ca046863e4e14beeee37454,fail,61440016,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP010_dense-embedding_site192_bit0_trial2.out,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP010_dense-embedding_site192_bit0_trial2.err,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP010_dense-embedding_site192_bit0_trial2,screen_id=SUP010;mapping=unchanged;candidate_final=SDC;reproducible=True;NVIDIA MASKED;full_trace_dir=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/dense-embedding/trace_site192_bit0_trial2;dump_path=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/dense-embedding/dense-embedding_site192_bit0_trial2.bin
entropy,26,26,0,1,DUE,124,timeout,False,,no_dump,,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP006_entropy_site26_bit0_trial1.out,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP006_entropy_site26_bit0_trial1.err,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP006_entropy_site26_bit0_trial1,screen_id=SUP006;mapping=unchanged;candidate_final=DUE;reproducible=True;NVIDIA MASKED;full_trace_dir=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/entropy/trace_site26_bit0;dump_path=;due_reason_reviewed=1
entropy,26,26,0,2,DUE,124,timeout,False,,no_dump,,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP006_entropy_site26_bit0_trial2.out,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/stdout_stderr/SUP006_entropy_site26_bit0_trial2.err,divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/compact_debug_artifacts/traces/SUP006_entropy_site26_bit0_trial2,screen_id=SUP006;mapping=unchanged;candidate_final=DUE;reproducible=True;NVIDIA MASKED;full_trace_dir=/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/entropy/trace_site26_bit0_trial2;dump_path=;due_reason_reviewed=1
