bench,baseline_status,runner_returncode,summary_result,summary_exit_code,elapsed_seconds,timeout_seconds,golden_path,generated_golden,baseline_dump,compare_json,stdout,stderr
matrix-rotate,PASS,0,BASELINE,0,9.210,200,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/golden/matrix-rotate_10000_1.bin,no,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/tmp/matrix-rotate_baseline/matrix-rotate_baseline.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/matrix-rotate_baseline_exact_summary.json,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/logs/matrix-rotate_baseline_driver.out,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/logs/matrix-rotate_baseline_driver.err
layout,PASS,0,BASELINE,0,9.046,200,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/golden/layout.bin,no,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/tmp/layout_baseline/layout_baseline.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/layout_baseline_exact_summary.json,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/logs/layout_baseline_driver.out,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/logs/layout_baseline_driver.err
dense-embedding,PASS,0,BASELINE,0,28.548,200,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/golden/dense-embedding.bin,no,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/tmp/dense-embedding_baseline/dense-embedding_baseline.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/dense-embedding_baseline_exact_summary.json,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/logs/dense-embedding_baseline_driver.out,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/logs/dense-embedding_baseline_driver.err
entropy,PASS,0,BASELINE,0,13.170,200,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/golden/entropy.bin,no,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/tmp/entropy_baseline/entropy_baseline.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/entropy_baseline_exact_summary.json,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/logs/entropy_baseline_driver.out,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/logs/entropy_baseline_driver.err
