screen_id,backend,bench,original_site_id,bit_index,original_result,semantic_match_key,function,site_class,opcode,type_kind,bitwidth,operand_index,source_line,source_column,signature_ordinal,source_file,semantic_key,metadata_source
DUE011,amd,randomAccess,354,0,SDC,7b6a6b3cea90|add|int|64|value|-1|1,_Z6updatePyy,result,add,int,64,-1,68,36,1,/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/randomAccess-hip/main.cu,_Z6updatePyy|result|add|int|64|-1|/autofs/nccs-svm1_home2/mdunlavy/GPU_Fault_Injection/HeCBench/src/randomAccess-hip/main.cu|68|36|1,divergence_cases/original_campaign/amd/randomAccess/fixed_refresh_2026-07-08/llvm17_inject_amd/randomAccess/sites_metadata.csv
DUE011,intel,randomAccess,76,0,SDC,7b6a6b3cea90|add|int|64|value|-1|1,_ZZZ4mainENKUlRN4sycl3_V17handlerEE0_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_,base,add,int,64,-1,146,42,1,/home/mdunlavy/GPU_FI/HeCBench/src/randomAccess-sycl/main.cpp,_ZZZ4mainENKUlRN4sycl3_V17handlerEE0_clES2_ENKUlNS0_7nd_itemILi1EEEE_clES5_|base|add|int|64|-1|/home/mdunlavy/GPU_FI/HeCBench/src/randomAccess-sycl/main.cpp|146|42|1,divergence_cases/original_campaign/intel/randomAccess/sites_metadata.csv
DUE011,nvidia,randomAccess,117,0,DUE,7b6a6b3cea90|add|int|64|value|-1|1,_Z6updatePyy,result,add,int,64,-1,69,36,1,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu,_Z6updatePyy|result|add|int|64|-1|/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu|69|36|1,divergence_cases/original_campaign/nvidia/randomAccess/HeCBench/results/llvm17_inject/randomAccess-cuda/sites_metadata.csv
