backend,phase,t,iteration,bx,tx,expected_small_block_cols_64,actual_small_block_cols_32,expected_blkX_64,actual_blkX_32,expected_blkXmax_64,actual_blkXmax_32,expected_xidx_64,actual_xidx_32,validXmin,validXmax,isValid,computed,final_write_executed,final_write_index,final_write_value
nvidia,injected,0,999,10,143,-1748,2147481900,-18480,-18480,-18231,-18231,-18337,-18337,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,144,-1748,2147481900,-18480,-18480,-18231,-18231,-18336,-18336,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,145,-1748,2147481900,-18480,-18480,-18231,-18231,-18335,-18335,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,146,-1748,2147481900,-18480,-18480,-18231,-18231,-18334,-18334,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,147,-1748,2147481900,-18480,-18480,-18231,-18231,-18333,-18333,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,148,-1748,2147481900,-18480,-18480,-18231,-18231,-18332,-18332,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,149,-1748,2147481900,-18480,-18480,-18231,-18231,-18331,-18331,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,150,-1748,2147481900,-18480,-18480,-18231,-18231,-18330,-18330,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,151,-1748,2147481900,-18480,-18480,-18231,-18231,-18329,-18329,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,152,-1748,2147481900,-18480,-18480,-18231,-18231,-18328,-18328,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,153,-1748,2147481900,-18480,-18480,-18231,-18231,-18327,-18327,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,154,-1748,2147481900,-18480,-18480,-18231,-18231,-18326,-18326,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,155,-1748,2147481900,-18480,-18480,-18231,-18231,-18325,-18325,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,156,-1748,2147481900,-18480,-18480,-18231,-18231,-18324,-18324,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,157,-1748,2147481900,-18480,-18480,-18231,-18231,-18323,-18323,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,158,-1748,2147481900,-18480,-18480,-18231,-18231,-18322,-18322,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,159,-1748,2147481900,-18480,-18480,-18231,-18231,-18321,-18321,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,224,-1748,2147481900,-18480,-18480,-18231,-18231,-18256,-18256,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,225,-1748,2147481900,-18480,-18480,-18231,-18231,-18255,-18255,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,226,-1748,2147481900,-18480,-18480,-18231,-18231,-18254,-18254,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,227,-1748,2147481900,-18480,-18480,-18231,-18231,-18253,-18253,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,228,-1748,2147481900,-18480,-18480,-18231,-18231,-18252,-18252,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,229,-1748,2147481900,-18480,-18480,-18231,-18231,-18251,-18251,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,230,-1748,2147481900,-18480,-18480,-18231,-18231,-18250,-18250,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,231,-1748,2147481900,-18480,-18480,-18231,-18231,-18249,-18249,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,232,-1748,2147481900,-18480,-18480,-18231,-18231,-18248,-18248,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,233,-1748,2147481900,-18480,-18480,-18231,-18231,-18247,-18247,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,234,-1748,2147481900,-18480,-18480,-18231,-18231,-18246,-18246,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,235,-1748,2147481900,-18480,-18480,-18231,-18231,-18245,-18245,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,236,-1748,2147481900,-18480,-18480,-18231,-18231,-18244,-18244,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,237,-1748,2147481900,-18480,-18480,-18231,-18231,-18243,-18243,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,238,-1748,2147481900,-18480,-18480,-18231,-18231,-18242,-18242,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,239,-1748,2147481900,-18480,-18480,-18231,-18231,-18241,-18241,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,240,-1748,2147481900,-18480,-18480,-18231,-18231,-18240,-18240,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,241,-1748,2147481900,-18480,-18480,-18231,-18231,-18239,-18239,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,242,-1748,2147481900,-18480,-18480,-18231,-18231,-18238,-18238,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,243,-1748,2147481900,-18480,-18480,-18231,-18231,-18237,-18237,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,244,-1748,2147481900,-18480,-18480,-18231,-18231,-18236,-18236,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,245,-1748,2147481900,-18480,-18480,-18231,-18231,-18235,-18235,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,246,-1748,2147481900,-18480,-18480,-18231,-18231,-18234,-18234,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,247,-1748,2147481900,-18480,-18480,-18231,-18231,-18233,-18233,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,248,-1748,2147481900,-18480,-18480,-18231,-18231,-18232,-18232,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,249,-1748,2147481900,-18480,-18480,-18231,-18231,-18231,-18231,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,96,-1748,2147481900,-18480,-18480,-18231,-18231,-18384,-18384,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,97,-1748,2147481900,-18480,-18480,-18231,-18231,-18383,-18383,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,98,-1748,2147481900,-18480,-18480,-18231,-18231,-18382,-18382,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,99,-1748,2147481900,-18480,-18480,-18231,-18231,-18381,-18381,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,100,-1748,2147481900,-18480,-18480,-18231,-18231,-18380,-18380,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,101,-1748,2147481900,-18480,-18480,-18231,-18231,-18379,-18379,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,102,-1748,2147481900,-18480,-18480,-18231,-18231,-18378,-18378,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,103,-1748,2147481900,-18480,-18480,-18231,-18231,-18377,-18377,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,104,-1748,2147481900,-18480,-18480,-18231,-18231,-18376,-18376,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,105,-1748,2147481900,-18480,-18480,-18231,-18231,-18375,-18375,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,106,-1748,2147481900,-18480,-18480,-18231,-18231,-18374,-18374,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,107,-1748,2147481900,-18480,-18480,-18231,-18231,-18373,-18373,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,108,-1748,2147481900,-18480,-18480,-18231,-18231,-18372,-18372,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,109,-1748,2147481900,-18480,-18480,-18231,-18231,-18371,-18371,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,110,-1748,2147481900,-18480,-18480,-18231,-18231,-18370,-18370,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,111,-1748,2147481900,-18480,-18480,-18231,-18231,-18369,-18369,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,112,-1748,2147481900,-18480,-18480,-18231,-18231,-18368,-18368,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,113,-1748,2147481900,-18480,-18480,-18231,-18231,-18367,-18367,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,114,-1748,2147481900,-18480,-18480,-18231,-18231,-18366,-18366,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,115,-1748,2147481900,-18480,-18480,-18231,-18231,-18365,-18365,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,116,-1748,2147481900,-18480,-18480,-18231,-18231,-18364,-18364,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,117,-1748,2147481900,-18480,-18480,-18231,-18231,-18363,-18363,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,118,-1748,2147481900,-18480,-18480,-18231,-18231,-18362,-18362,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,119,-1748,2147481900,-18480,-18480,-18231,-18231,-18361,-18361,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,120,-1748,2147481900,-18480,-18480,-18231,-18231,-18360,-18360,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,121,-1748,2147481900,-18480,-18480,-18231,-18231,-18359,-18359,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,122,-1748,2147481900,-18480,-18480,-18231,-18231,-18358,-18358,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,123,-1748,2147481900,-18480,-18480,-18231,-18231,-18357,-18357,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,124,-1748,2147481900,-18480,-18480,-18231,-18231,-18356,-18356,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,125,-1748,2147481900,-18480,-18480,-18231,-18231,-18355,-18355,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,126,-1748,2147481900,-18480,-18480,-18231,-18231,-18354,-18354,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,127,-1748,2147481900,-18480,-18480,-18231,-18231,-18353,-18353,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,0,-1748,2147481900,-18480,-18480,-18231,-18231,-18480,-18480,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,1,-1748,2147481900,-18480,-18480,-18231,-18231,-18479,-18479,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,2,-1748,2147481900,-18480,-18480,-18231,-18231,-18478,-18478,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,3,-1748,2147481900,-18480,-18480,-18231,-18231,-18477,-18477,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,4,-1748,2147481900,-18480,-18480,-18231,-18231,-18476,-18476,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,5,-1748,2147481900,-18480,-18480,-18231,-18231,-18475,-18475,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,6,-1748,2147481900,-18480,-18480,-18231,-18231,-18474,-18474,18480,249,0,0,0,-1,0
nvidia,injected,0,999,10,7,-1748,2147481900,-18480,-18480,-18231,-18231,-18473,-18473,18480,249,0,0,0,-1,0
