site_id,opcode,type_kind,bitwidth,operand_index
1,store,ptr,64,0
2,store,ptr,64,1
3,store,ptr,64,0
4,store,ptr,64,1
5,store,ptr,64,0
6,store,ptr,64,1
7,store,ptr,64,1
8,store,ptr,64,1
9,load,ptr,64,0
10,load,ptr,64,0
11,load,ptr,64,0
12,getelementptr,ptr,64,0
13,load,ptr,64,0
14,getelementptr,ptr,64,0
15,store,ptr,64,1
16,load,ptr,64,0
17,load,ptr,64,0
18,load,ptr,64,0
19,load,ptr,64,0
20,getelementptr,ptr,64,0
21,load,ptr,64,0
22,getelementptr,ptr,64,0
23,store,ptr,64,1
24,load,ptr,64,0
25,load,ptr,64,0
26,load,ptr,64,0
27,load,ptr,64,0
28,getelementptr,ptr,64,0
29,load,ptr,64,0
30,getelementptr,ptr,64,0
31,store,ptr,64,1
32,load,ptr,64,0
33,load,ptr,64,0
34,load,ptr,64,0
35,load,ptr,64,0
36,getelementptr,ptr,64,0
37,load,ptr,64,0
38,getelementptr,ptr,64,0
39,store,ptr,64,1
40,load,ptr,64,0
41,load,ptr,64,0
42,load,ptr,64,0
43,load,ptr,64,0
44,getelementptr,ptr,64,0
45,load,ptr,64,0
46,getelementptr,ptr,64,0
47,store,ptr,64,1
48,store,ptr,64,1
49,load,ptr,64,0
50,load,ptr,64,0
51,load,ptr,64,0
52,load,ptr,64,0
53,getelementptr,ptr,64,0
54,load,ptr,64,0
55,getelementptr,ptr,64,0
56,load,ptr,64,0
57,getelementptr,ptr,64,0
58,load,ptr,64,0
59,getelementptr,ptr,64,0
60,load,ptr,64,0
61,load,ptr,64,0
62,load,ptr,64,0
63,load,ptr,64,0
64,getelementptr,ptr,64,0
65,store,ptr,64,1
66,load,ptr,64,0
67,load,ptr,64,0
68,load,ptr,64,0
69,getelementptr,ptr,64,0
70,load,ptr,64,0
71,getelementptr,ptr,64,0
72,load,ptr,64,0
73,store,ptr,64,1
74,load,ptr,64,0
75,load,ptr,64,0
76,store,ptr,64,1
77,store,ptr,64,1
78,load,ptr,64,0
79,load,ptr,64,0
80,load,ptr,64,0
81,load,ptr,64,0
82,store,ptr,64,1
83,load,ptr,64,0
84,store,ptr,64,1
85,load,ptr,64,0
86,store,ptr,64,1
87,load,ptr,64,0
88,store,ptr,64,1
89,store,ptr,64,1
90,load,ptr,64,0
91,load,ptr,64,0
92,load,ptr,64,0
93,load,ptr,64,0
94,store,ptr,64,1
95,load,ptr,64,0
96,store,ptr,64,1
97,load,ptr,64,0
98,load,ptr,64,0
99,call,ptr,64,0
100,store,ptr,64,1
101,store,ptr,64,1
102,store,ptr,64,1
103,store,ptr,64,1
104,load,ptr,64,0
105,load,ptr,64,0
106,load,ptr,64,0
107,load,ptr,64,0
108,store,ptr,64,0
109,store,ptr,64,1
110,store,ptr,64,1
111,load,ptr,64,0
112,load,ptr,64,0
113,store,ptr,64,0
114,store,ptr,64,1
115,store,ptr,64,1
116,load,ptr,64,0
117,load,ptr,64,0
118,atomicrmw,ptr,64,0
