normalized_result,count,pct
MASKED_FLAGGED,0,0.000000
MASKED_UNFLAGGED,26253,79.049110
SDC_FLAGGED,4429,13.335943
SDC_NOTFLAGGED,255,0.767818
FAILURE_HANG,2037,6.133510
FAILURE_NONHANG,237,0.713619
