worklist_id,bench,site_id,bit_index,comparison,expected_original_result,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,notes,baseline_status,actual_result,exit_code,matches_expected,stdout,stderr
15,colorwheel,22,2,all_three_anchor,SDC,22,145,77,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site22_bit2.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site22_bit2.err
16,colorwheel,22,6,all_three_anchor,SDC,22,145,77,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site22_bit6.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site22_bit6.err
17,colorwheel,23,0,all_three_anchor,SDC,23,147,78,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site23_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site23_bit0.err
18,colorwheel,23,4,all_three_anchor,SDC,23,147,78,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site23_bit4.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site23_bit4.err
19,colorwheel,24,0,all_three_anchor,SDC,24,149,79,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site24_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site24_bit0.err
20,colorwheel,24,4,all_three_anchor,SDC,24,149,79,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site24_bit4.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site24_bit4.err
21,colorwheel,145,2,all_three_anchor,SDC,145,293,146,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site145_bit2.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site145_bit2.err
22,colorwheel,145,6,all_three_anchor,SDC,145,293,146,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site145_bit6.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site145_bit6.err
23,colorwheel,146,7,all_three_anchor,SDC,146,295,147,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site146_bit7.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site146_bit7.err
24,colorwheel,7,1,all_three_anchor,SDC,7,115,210,SDC,MASKED,SDC,family_full,,PASS,SDC,0,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site7_bit1.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/colorwheel/site7_bit1.err
