worklist_id,screen_id,bench,nvidia_site_id,bit_index,nvidia_result,baseline_status,actual_result,exit_code,matches_expected,stdout,stderr
SUP001,SUP001,matrix-rotate,16,31,DUE,PASS,SDC,0,false,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/matrix-rotate/site16_bit31.out,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/matrix-rotate/site16_bit31.err
SUP002,SUP002,matrix-rotate,16,13,SDC,PASS,SDC,0,true,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/matrix-rotate/site16_bit13.out,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/matrix-rotate/site16_bit13.err
SUP003,SUP003,layout,14,0,MASKED,PASS,MASKED,0,true,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/layout/site14_bit0.out,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/layout/site14_bit0.err
SUP004,SUP004,dense-embedding,44,11,DUE,PASS,SDC,124,false,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/dense-embedding/site44_bit11.out,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/dense-embedding/site44_bit11.err
SUP005,SUP005,dense-embedding,47,7,DUE,PASS,SDC,124,false,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/dense-embedding/site47_bit7.out,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/dense-embedding/site47_bit7.err
SUP008,SUP008,matrix-rotate,9,0,SDC,PASS,SDC,0,true,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/matrix-rotate/site9_bit0.out,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/matrix-rotate/site9_bit0.err
SUP009,SUP009,layout,31,12,SDC,PASS,SDC,0,true,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/layout/site31_bit12.out,/home/mdunlavy/GPU_FI_outcome_divergence/divergence_cases/supplemental_screen/nvidia_targeted_debug/layout/site31_bit12.err
