worklist_id,bench,site_id,bit_index,comparison,expected_original_result,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,notes,rerun_trial,rerun_result,rerun_exit_code,rerun_stdout,rerun_stderr,rerun_dump
44,randomAccess,245,0,all_three_or_pairwise_anchor,,69,245,145,SDC,,MASKED,family_full,,1,MASKED,0,,,
45,randomAccess,245,1,all_three_or_pairwise_anchor,,69,245,145,SDC,,MASKED,family_full,,1,MASKED,0,,,
46,randomAccess,255,0,all_three_or_pairwise_anchor,,74,255,150,SDC,,MASKED,family_full,,1,MASKED,0,,,
47,randomAccess,255,1,all_three_or_pairwise_anchor,,74,255,150,SDC,,MASKED,family_full,,1,MASKED,0,,,
48,randomAccess,129,0,all_three_or_pairwise_anchor,,14,129,90,SDC,,MASKED,family_full,,1,MASKED,0,,,
49,pathfinder,395,3,nvidia_vs_intel,,137,395,153,MASKED,,SDC,source_text_type_family,,1,MASKED,0,,,
50,pathfinder,395,17,nvidia_vs_intel,,137,395,153,MASKED,,SDC,source_text_type_family,,1,MASKED,0,,,
51,pathfinder,350,3,nvidia_vs_intel,,116,350,132,SDC,,MASKED,source_text_type_family,,1,MASKED,0,,,
52,pathfinder,350,17,nvidia_vs_intel,,116,350,132,SDC,,MASKED,source_text_type_family,,1,MASKED,0,,,
53,pathfinder,123,3,nvidia_vs_intel,,9,123,25,MASKED,,SDC,source_text_type_family,,1,MASKED,0,,,
54,pathfinder,123,31,nvidia_vs_intel,,9,123,25,MASKED,,SDC,source_text_type_family,,1,MASKED,0,,,
55,pathfinder,240,3,nvidia_vs_intel,,64,240,80,MASKED,,SDC,source_context_type_family,,1,MASKED,0,,,
56,pathfinder,240,17,nvidia_vs_intel,,64,240,80,MASKED,,SDC,source_context_type_family,,1,MASKED,0,,,
57,pathfinder,217,3,nvidia_vs_intel,,53,217,69,SDC,,MASKED,source_context_type_family,,1,MASKED,0,,,
58,pathfinder,217,17,nvidia_vs_intel,,53,217,69,SDC,,MASKED,source_context_type_family,,1,MASKED,0,,,
59,pathfinder,224,62,nvidia_vs_intel,,56,224,72,SDC,,MASKED,source_context_type_family,,1,MASKED,0,,,
60,pathfinder,224,63,nvidia_vs_intel,,56,224,72,SDC,,MASKED,source_context_type_family,,1,MASKED,0,,,
61,dense-embedding,362,9,nvidia_vs_amd,DUE,114,362,,SDC,DUE,,pairwise_normalized_metadata,,1,MASKED,0,,,
62,dense-embedding,362,16,nvidia_vs_amd,DUE,114,362,,SDC,DUE,,pairwise_normalized_metadata,,1,MASKED,0,,,
63,dense-embedding,390,9,nvidia_vs_amd,DUE,126,390,,SDC,DUE,,pairwise_normalized_metadata,,1,MASKED,0,,,
64,dense-embedding,390,16,nvidia_vs_amd,DUE,126,390,,SDC,DUE,,pairwise_normalized_metadata,,1,MASKED,0,,,
65,dense-embedding,385,9,nvidia_vs_amd,DUE,124,385,,SDC,DUE,,pairwise_normalized_metadata,,1,MASKED,0,,,
66,dense-embedding,385,63,nvidia_vs_amd,DUE,124,385,,SDC,DUE,,pairwise_normalized_metadata,,1,MASKED,0,,,
67,dense-embedding,404,23,nvidia_vs_amd,DUE,132,404,,SDC,DUE,,pairwise_normalized_metadata,,1,MASKED,0,,,
68,dense-embedding,404,18,nvidia_vs_amd,DUE,132,404,,SDC,DUE,,pairwise_normalized_metadata,,1,MASKED,0,,,
69,dense-embedding,381,9,nvidia_vs_amd,DUE,122,381,,SDC,DUE,,pairwise_normalized_metadata,,1,MASKED,0,,,
70,dense-embedding,381,23,nvidia_vs_amd,DUE,122,381,,SDC,DUE,,pairwise_normalized_metadata,,1,MASKED,0,,,
71,dense-embedding,369,9,nvidia_vs_amd,DUE,117,369,,SDC,DUE,,pairwise_normalized_metadata,,1,MASKED,0,,,
72,dense-embedding,369,23,nvidia_vs_amd,DUE,117,369,,SDC,DUE,,pairwise_normalized_metadata,,1,MASKED,0,,,
73,entropy,443,17,intel_vs_amd,DUE,156,443,226,,DUE,MASKED,source_context_type_family,,1,MASKED,0,,,
74,entropy,443,31,intel_vs_amd,DUE,156,443,226,,DUE,MASKED,source_context_type_family,,1,MASKED,0,,,
75,entropy,443,4,intel_vs_amd,DUE,156,443,226,,DUE,MASKED,source_context_type_family,,1,MASKED,0,,,
76,entropy,443,9,intel_vs_amd,DUE,156,443,226,,DUE,MASKED,source_context_type_family,,1,MASKED,0,,,
