worklist_id,bench,site_id,bit_index,comparison,expected_original_result,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,notes,baseline_status,rerun_status,rerun_result,rerun_exit_code,matches_original_nvidia_result,comparison_status,results_path,pbs_job_id,campaign_commit
11,colorwheel,25,3,all_three_anchor,SDC,25,151,80,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
12,colorwheel,25,7,all_three_anchor,SDC,25,151,80,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
13,colorwheel,27,3,all_three_anchor,SDC,27,155,82,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
14,colorwheel,27,7,all_three_anchor,SDC,27,155,82,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
15,colorwheel,22,2,all_three_anchor,SDC,22,145,77,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
16,colorwheel,22,6,all_three_anchor,SDC,22,145,77,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
17,colorwheel,23,0,all_three_anchor,SDC,23,147,78,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
18,colorwheel,23,4,all_three_anchor,SDC,23,147,78,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
19,colorwheel,24,0,all_three_anchor,SDC,24,149,79,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
20,colorwheel,24,4,all_three_anchor,SDC,24,149,79,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
21,colorwheel,145,2,all_three_anchor,SDC,145,293,146,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
22,colorwheel,145,6,all_three_anchor,SDC,145,293,146,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
23,colorwheel,146,7,all_three_anchor,SDC,146,295,147,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
24,colorwheel,7,1,all_three_anchor,SDC,7,115,210,SDC,MASKED,SDC,family_full,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
25,randomAccess,100,0,all_three_or_pairwise_anchor,MASKED,100,316,59,MASKED,MASKED,SDC,family_full,,PASS,COMPLETED,MASKED,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
26,randomAccess,102,1,all_three_or_pairwise_anchor,MASKED,102,320,61,MASKED,SDC,SDC,source_context_type_family,,PASS,COMPLETED,SDC,1,false,MISMATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
27,randomAccess,102,2,all_three_or_pairwise_anchor,MASKED,102,320,61,MASKED,SDC,SDC,source_context_type_family,,PASS,COMPLETED,SDC,1,false,MISMATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
28,randomAccess,117,0,all_three_or_pairwise_anchor,DUE,117,354,76,DUE,SDC,SDC,family_full,,PASS,COMPLETED,FAILURE,124,false,MISMATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
29,randomAccess,19,0,all_three_or_pairwise_anchor,SDC,19,139,95,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
30,randomAccess,16,0,all_three_or_pairwise_anchor,SDC,16,133,92,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
31,randomAccess,16,1,all_three_or_pairwise_anchor,SDC,16,133,92,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
32,randomAccess,18,7,all_three_or_pairwise_anchor,MASKED,18,137,94,MASKED,,SDC,family_full,,PASS,COMPLETED,MASKED,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
33,randomAccess,18,8,all_three_or_pairwise_anchor,MASKED,18,137,94,MASKED,,SDC,family_full,,PASS,COMPLETED,MASKED,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
34,randomAccess,22,0,all_three_or_pairwise_anchor,SDC,22,145,98,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
35,randomAccess,22,1,all_three_or_pairwise_anchor,SDC,22,145,98,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
