bench,nvidia_site_id,amd_site_id,intel_site_id,all3_sitebits,divergent_sitebits,divergent_fraction,top_patterns
colorwheel,22,145,77,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,24,149,79,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,145,293,146,32,32,1.000000,SDC/DUE/SDC:28 | SDC/MASKED/SDC:4
colorwheel,146,295,147,32,32,1.000000,SDC/DUE/SDC:31 | SDC/MASKED/SDC:1
colorwheel,152,308,153,32,32,1.000000,SDC/DUE/SDC:32
colorwheel,154,312,155,32,32,1.000000,SDC/DUE/SDC:32
colorwheel,151,306,152,32,32,1.000000,SDC/DUE/SDC:32
colorwheel,153,310,154,32,32,1.000000,SDC/DUE/SDC:32
colorwheel,155,314,156,32,32,1.000000,SDC/DUE/SDC:32
colorwheel,7,115,210,32,32,1.000000,SDC/DUE/DUE:22 | SDC/MASKED/DUE:7 | SDC/DUE/SDC:2 | SDC/MASKED/SDC:1
colorwheel,142,287,143,32,32,1.000000,SDC/DUE/SDC:28 | SDC/MASKED/SDC:4
colorwheel,141,285,142,32,32,1.000000,SDC/DUE/SDC:29 | SDC/MASKED/SDC:3
colorwheel,143,289,144,32,32,1.000000,SDC/DUE/SDC:28 | SDC/MASKED/SDC:4
colorwheel,238,506,59,32,32,1.000000,DUE/DUE/SDC:28 | SDC/DUE/SDC:4
colorwheel,240,511,61,32,32,1.000000,DUE/DUE/SDC:28 | SDC/DUE/SDC:4
colorwheel,241,513,62,32,32,1.000000,DUE/DUE/SDC:28 | SDC/DUE/SDC:4
colorwheel,228,483,46,32,32,1.000000,DUE/DUE/SDC:32
colorwheel,140,283,141,32,32,1.000000,SDC/DUE/SDC:32
colorwheel,1,103,204,32,32,1.000000,SDC/DUE/SDC:23 | SDC/MASKED/SDC:7 | SDC/MASKED/DUE:1 | SDC/DUE/DUE:1
colorwheel,2,105,205,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,3,107,206,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,4,109,207,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,5,111,208,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,6,113,209,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,157,318,158,32,32,1.000000,SDC/DUE/SDC:32
colorwheel,45,191,100,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,47,195,102,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,39,179,94,32,32,1.000000,DUE/DUE/SDC:24 | DUE/MASKED/SDC:7 | SDC/MASKED/SDC:1
colorwheel,38,177,93,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,40,181,95,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,44,189,99,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,46,193,101,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,41,183,96,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,42,185,97,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,43,187,98,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,189,386,190,32,32,1.000000,SDC/DUE/SDC:27 | SDC/MASKED/SDC:4 | DUE/DUE/SDC:1
colorwheel,188,384,189,32,32,1.000000,SDC/DUE/SDC:27 | SDC/MASKED/SDC:4 | SDC/DUE/DUE:1
colorwheel,221,466,42,32,32,1.000000,DUE/DUE/SDC:30 | SDC/DUE/SDC:2
colorwheel,223,471,44,32,32,1.000000,SDC/DUE/SDC:32
colorwheel,220,464,41,32,32,1.000000,DUE/DUE/SDC:30 | SDC/DUE/SDC:2
colorwheel,222,469,43,32,32,1.000000,SDC/DUE/SDC:32
colorwheel,56,213,111,32,32,1.000000,SDC/DUE/SDC:23 | SDC/MASKED/SDC:8 | DUE/DUE/SDC:1
colorwheel,48,197,103,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,55,211,110,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,212,445,33,32,32,1.000000,DUE/DUE/SDC:30 | SDC/DUE/SDC:2
colorwheel,214,450,35,32,32,1.000000,DUE/DUE/SDC:28 | SDC/DUE/SDC:4
colorwheel,211,443,32,32,32,1.000000,DUE/DUE/SDC:30 | SDC/DUE/SDC:2
colorwheel,207,434,28,32,32,1.000000,SDC/DUE/SDC:29 | SDC/MASKED/SDC:3
colorwheel,209,438,30,32,32,1.000000,SDC/DUE/DUE:28 | SDC/MASKED/DUE:3 | SDC/DUE/SDC:1
colorwheel,35,171,90,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,37,175,92,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,30,161,85,32,32,1.000000,DUE/DUE/SDC:24 | DUE/MASKED/SDC:7 | SDC/MASKED/SDC:1
colorwheel,31,163,86,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,34,169,89,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,36,173,91,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,29,159,84,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,32,165,87,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,33,167,88,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,18,137,73,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,11,123,66,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,10,121,65,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,12,125,67,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,183,374,184,32,32,1.000000,SDC/DUE/DUE:22 | SDC/DUE/SDC:6 | SDC/MASKED/DUE:2 | SDC/MASKED/SDC:2
colorwheel,185,378,186,32,32,1.000000,SDC/DUE/SDC:28 | SDC/MASKED/SDC:4
colorwheel,187,382,188,32,32,1.000000,SDC/DUE/SDC:30 | SDC/MASKED/SDC:2
colorwheel,186,380,187,32,32,1.000000,SDC/DUE/SDC:29 | SDC/MASKED/SDC:3
colorwheel,184,376,185,32,32,1.000000,DUE/DUE/SDC:22 | SDC/DUE/SDC:6 | DUE/MASKED/SDC:2 | SDC/MASKED/SDC:2
colorwheel,182,372,183,32,32,1.000000,MASKED/DUE/SDC:21 | SDC/DUE/SDC:7 | MASKED/MASKED/SDC:2 | SDC/MASKED/SDC:2
colorwheel,181,370,182,32,32,1.000000,SDC/DUE/MASKED:21 | SDC/DUE/SDC:7 | SDC/MASKED/MASKED:2 | SDC/MASKED/SDC:2
colorwheel,180,368,181,32,32,1.000000,SDC/DUE/SDC:28 | SDC/MASKED/SDC:4
colorwheel,179,366,180,32,32,1.000000,SDC/DUE/SDC:28 | SDC/MASKED/SDC:4
colorwheel,171,348,172,32,32,1.000000,SDC/DUE/SDC:32
colorwheel,147,297,148,32,32,1.000000,SDC/DUE/SDC:29 | SDC/MASKED/SDC:3
colorwheel,144,291,145,32,32,1.000000,SDC/DUE/SDC:28 | SDC/MASKED/SDC:4
colorwheel,136,275,137,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,135,273,136,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,60,221,115,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,61,223,116,32,32,1.000000,SDC/DUE/SDC:24 | SDC/MASKED/SDC:8
colorwheel,62,225,117,32,32,1.000000,SDC/DUE/DUE:23 | SDC/MASKED/DUE:8 | SDC/DUE/SDC:1
colorwheel,49,199,104,8,8,1.000000,DUE/DUE/SDC:5 | DUE/MASKED/SDC:2 | SDC/DUE/SDC:1
colorwheel,51,203,106,8,8,1.000000,SDC/DUE/SDC:6 | SDC/MASKED/SDC:2
colorwheel,15,131,70,8,8,1.000000,SDC/DUE/SDC:6 | SDC/MASKED/SDC:2
colorwheel,17,135,72,8,8,1.000000,DUE/DUE/SDC:5 | DUE/MASKED/SDC:2 | SDC/DUE/SDC:1
colorwheel,50,201,105,1,1,1.000000,SDC/DUE/SDC:1
colorwheel,16,133,71,1,1,1.000000,SDC/DUE/SDC:1
colorwheel,58,217,113,1,1,1.000000,SDC/DUE/SDC:1
randomAccess,117,354,76,1,1,1.000000,DUE/SDC/SDC:1
randomAccess,100,316,59,1,1,1.000000,MASKED/MASKED/SDC:1
colorwheel,161,326,162,64,63,0.984375,SDC/DUE/SDC:32 | DUE/DUE/SDC:31
colorwheel,236,502,57,32,31,0.968750,MASKED/DUE/SDC:18 | SDC/DUE/SDC:12 | SDC/DUE/DUE:1
randomAccess,102,320,61,64,50,0.781250,DUE/SDC/DUE:18 | DUE/MASKED/DUE:14 | SDC/MASKED/SDC:10 | MASKED/SDC/SDC:4 | MASKED/MASKED/SDC:2
colorwheel,149,302,150,64,33,0.515625,SDC/DUE/SDC:33
colorwheel,177,361,178,64,33,0.515625,SDC/DUE/SDC:32 | DUE/MASKED/DUE:1
colorwheel,237,504,58,32,4,0.125000,SDC/DUE/DUE:3 | SDC/DUE/SDC:1
colorwheel,218,459,39,32,3,0.093750,SDC/DUE/DUE:2 | SDC/DUE/SDC:1
