priority_rank,comparison,bench,bit_index,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,nvidia_opcode,amd_opcode,intel_opcode,nvidia_site_class,amd_site_class,intel_site_class,notes
1,all_three_anchor,colorwheel,3,26,153,81,SDC,MASKED,SDC,family_full,add,add,add,result,result,base,
2,all_three_anchor,colorwheel,7,26,153,81,SDC,MASKED,SDC,family_full,add,add,add,result,result,base,
3,all_three_anchor,colorwheel,3,28,157,83,SDC,MASKED,SDC,family_full,add,add,add,result,result,base,
4,all_three_anchor,colorwheel,7,28,157,83,SDC,MASKED,SDC,family_full,add,add,add,result,result,base,
5,all_three_anchor,colorwheel,2,20,141,75,SDC,MASKED,SDC,family_full,icmp,icmp,icmp,result,result,base,
6,all_three_anchor,colorwheel,6,20,141,75,SDC,MASKED,SDC,family_full,icmp,icmp,icmp,result,result,base,
7,all_three_anchor,colorwheel,3,19,139,74,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,
8,all_three_anchor,colorwheel,7,19,139,74,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,
9,all_three_anchor,colorwheel,2,21,143,76,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,
10,all_three_anchor,colorwheel,6,21,143,76,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,
11,all_three_anchor,colorwheel,3,25,151,80,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,
12,all_three_anchor,colorwheel,7,25,151,80,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,
13,all_three_anchor,colorwheel,3,27,155,82,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,
14,all_three_anchor,colorwheel,7,27,155,82,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,
15,all_three_anchor,colorwheel,2,22,145,77,SDC,MASKED,SDC,family_full,mul,mul,mul,result,result,base,
16,all_three_anchor,colorwheel,6,22,145,77,SDC,MASKED,SDC,family_full,mul,mul,mul,result,result,base,
17,all_three_anchor,colorwheel,0,23,147,78,SDC,MASKED,SDC,family_full,sdiv,sdiv,sdiv,result,result,base,
18,all_three_anchor,colorwheel,4,23,147,78,SDC,MASKED,SDC,family_full,sdiv,sdiv,sdiv,result,result,base,
19,all_three_anchor,colorwheel,0,24,149,79,SDC,MASKED,SDC,family_full,sub,sub,sub,result,result,base,
20,all_three_anchor,colorwheel,4,24,149,79,SDC,MASKED,SDC,family_full,sub,sub,sub,result,result,base,
21,all_three_anchor,colorwheel,2,145,293,146,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,
22,all_three_anchor,colorwheel,6,145,293,146,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,
23,all_three_anchor,colorwheel,7,146,295,147,SDC,MASKED,SDC,family_full,sitofp,sitofp,sitofp,result,result,base,
24,all_three_anchor,colorwheel,1,7,115,210,SDC,MASKED,SDC,family_full,load,load,load,result,result,base,
25,all_three_or_pairwise_anchor,randomAccess,0,100,316,59,MASKED,MASKED,SDC,family_full,mul,mul,mul,result,result,base,
26,all_three_or_pairwise_anchor,randomAccess,1,102,320,61,MASKED,SDC,SDC,source_context_type_family,icmp,icmp,icmp,result,result,base,
27,all_three_or_pairwise_anchor,randomAccess,2,102,320,61,MASKED,SDC,SDC,source_context_type_family,icmp,icmp,icmp,result,result,base,
28,all_three_or_pairwise_anchor,randomAccess,0,117,354,76,DUE,SDC,SDC,family_full,add,add,add,result,result,base,
29,all_three_or_pairwise_anchor,randomAccess,0,19,139,95,SDC,,MASKED,family_full,icmp,icmp,icmp,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
30,all_three_or_pairwise_anchor,randomAccess,0,16,133,92,SDC,,MASKED,family_full,load,load,load,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
31,all_three_or_pairwise_anchor,randomAccess,1,16,133,92,SDC,,MASKED,family_full,load,load,load,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
32,all_three_or_pairwise_anchor,randomAccess,7,18,137,94,MASKED,,SDC,family_full,load,load,load,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
33,all_three_or_pairwise_anchor,randomAccess,8,18,137,94,MASKED,,SDC,family_full,load,load,load,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
34,all_three_or_pairwise_anchor,randomAccess,0,22,145,98,SDC,,MASKED,family_full,xor,xor,xor,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
35,all_three_or_pairwise_anchor,randomAccess,1,22,145,98,SDC,,MASKED,family_full,xor,xor,xor,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
36,all_three_or_pairwise_anchor,randomAccess,0,20,141,96,MASKED,,SDC,family_full,zext,zext,zext,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
37,all_three_or_pairwise_anchor,randomAccess,1,20,141,96,MASKED,,SDC,family_full,zext,zext,zext,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
38,all_three_or_pairwise_anchor,randomAccess,0,71,249,147,SDC,,MASKED,family_full,icmp,icmp,icmp,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
39,all_three_or_pairwise_anchor,randomAccess,0,68,243,144,SDC,,MASKED,family_full,load,load,load,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
40,all_three_or_pairwise_anchor,randomAccess,1,68,243,144,SDC,,MASKED,family_full,load,load,load,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
41,all_three_or_pairwise_anchor,randomAccess,63,70,247,146,SDC,,MASKED,family_full,load,load,load,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
42,all_three_or_pairwise_anchor,randomAccess,0,73,253,149,SDC,,MASKED,family_full,select,select,select,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
43,all_three_or_pairwise_anchor,randomAccess,1,73,253,149,SDC,,MASKED,family_full,select,select,select,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
44,all_three_or_pairwise_anchor,randomAccess,0,69,245,145,SDC,,MASKED,family_full,shl,shl,shl,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
45,all_three_or_pairwise_anchor,randomAccess,1,69,245,145,SDC,,MASKED,family_full,shl,shl,shl,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
46,all_three_or_pairwise_anchor,randomAccess,0,74,255,150,SDC,,MASKED,family_full,xor,xor,xor,result,result,base,mixed evidence; rerun all mapped machine sites to fill missing/unstable outcomes
