site_id,bit_index,raw_result,normalized_result,has_out,has_err
105,6,SDC:not-flagged,SDC_NOTFLAGGED,1,1
105,7,SDC:not-flagged,SDC_NOTFLAGGED,1,1
105,8,FAILURE:NONHANG,FAILURE_NONHANG,1,1
105,9,FAILURE:NONHANG,FAILURE_NONHANG,1,1
106,0,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,1,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,10,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,11,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,12,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,13,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,14,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,15,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,16,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,17,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,18,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,19,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,2,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,20,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,21,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,22,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,23,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,24,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,25,FAILURE:NONHANG,FAILURE_NONHANG,1,1
106,26,FAILURE:NONHANG,FAILURE_NONHANG,1,1
106,27,FAILURE:NONHANG,FAILURE_NONHANG,1,1
106,28,FAILURE:NONHANG,FAILURE_NONHANG,1,1
106,29,FAILURE:NONHANG,FAILURE_NONHANG,1,1
106,3,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,30,FAILURE:NONHANG,FAILURE_NONHANG,1,1
106,31,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,32,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,33,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,34,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,35,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,36,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,37,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,38,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,39,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,4,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,40,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,41,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,42,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,43,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,44,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,45,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,46,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,47,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,48,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,49,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,5,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,50,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,51,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,52,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,53,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,54,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,55,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,56,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,57,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,58,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,59,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,6,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,60,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,61,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,62,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,63,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,7,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,8,SDC:not-flagged,SDC_NOTFLAGGED,1,1
106,9,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,0,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,1,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,10,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,11,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,12,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,13,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,14,FAILURE:NONHANG,FAILURE_NONHANG,1,1
107,15,FAILURE:NONHANG,FAILURE_NONHANG,1,1
107,16,FAILURE:NONHANG,FAILURE_NONHANG,1,1
107,17,FAILURE:NONHANG,FAILURE_NONHANG,1,1
107,18,FAILURE:NONHANG,FAILURE_NONHANG,1,1
107,19,FAILURE:NONHANG,FAILURE_NONHANG,1,1
107,2,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,20,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,21,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,22,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,23,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,24,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,25,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,26,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,27,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,28,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,29,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,3,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,30,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,31,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,4,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,5,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,6,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,7,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,8,SDC:not-flagged,SDC_NOTFLAGGED,1,1
107,9,SDC:not-flagged,SDC_NOTFLAGGED,1,1
108,0,SDC:not-flagged,SDC_NOTFLAGGED,1,1
108,1,SDC:not-flagged,SDC_NOTFLAGGED,1,1
108,10,SDC:not-flagged,SDC_NOTFLAGGED,1,1
108,11,SDC:not-flagged,SDC_NOTFLAGGED,1,1
108,12,SDC:not-flagged,SDC_NOTFLAGGED,1,1
108,13,SDC:not-flagged,SDC_NOTFLAGGED,1,1
