screen_id,bench,old_site_id,site_id,bit_index,trial,classification,due_reason,runner_returncode,summary_result,summary_exit_code,dump_exists,dump,compare_json,stdout,stderr
SUP001,matrix-rotate,17,17,31,1,DUE,signal_or_crash,0,FAILURE,134,False,,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_screen_20260723T160500Z/comparisons/SUP001_matrix-rotate_site17_bit31_trial1.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/site17_bit31.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/site17_bit31.err
SUP001,matrix-rotate,17,17,31,2,DUE,signal_or_crash,0,FAILURE,134,False,,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_screen_20260723T160500Z/comparisons/SUP001_matrix-rotate_site17_bit31_trial2.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/site17_bit31_trial2.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/site17_bit31_trial2.err
SUP002,matrix-rotate,17,17,13,1,SDC,,0,SDC,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/matrix-rotate_site17_bit13.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_screen_20260723T160500Z/comparisons/SUP002_matrix-rotate_site17_bit13_trial1.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/site17_bit13.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/site17_bit13.err
SUP002,matrix-rotate,17,17,13,2,SDC,,0,SDC,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/matrix-rotate_site17_bit13_trial2.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_screen_20260723T160500Z/comparisons/SUP002_matrix-rotate_site17_bit13_trial2.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/site17_bit13_trial2.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/site17_bit13_trial2.err
SUP008,matrix-rotate,11,11,0,1,SDC,,0,SDC,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/matrix-rotate_site11_bit0.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_screen_20260723T160500Z/comparisons/SUP008_matrix-rotate_site11_bit0_trial1.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/site11_bit0.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/site11_bit0.err
SUP008,matrix-rotate,11,11,0,2,SDC,,0,SDC,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/matrix-rotate_site11_bit0_trial2.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_screen_20260723T160500Z/comparisons/SUP008_matrix-rotate_site11_bit0_trial2.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/site11_bit0_trial2.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/matrix-rotate/site11_bit0_trial2.err
SUP003,layout,16,16,0,1,MASKED,,0,MASKED,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/layout/layout_site16_bit0.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_screen_20260723T160500Z/comparisons/SUP003_layout_site16_bit0_trial1.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/layout/site16_bit0.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/layout/site16_bit0.err
SUP003,layout,16,16,0,2,MASKED,,0,MASKED,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/layout/layout_site16_bit0_trial2.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_screen_20260723T160500Z/comparisons/SUP003_layout_site16_bit0_trial2.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/layout/site16_bit0_trial2.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/layout/site16_bit0_trial2.err
SUP009,layout,58,58,12,1,MASKED,,0,MASKED,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/layout/layout_site58_bit12.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_screen_20260723T160500Z/comparisons/SUP009_layout_site58_bit12_trial1.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/layout/site58_bit12.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/layout/site58_bit12.err
SUP009,layout,58,58,12,2,MASKED,,0,MASKED,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/layout/layout_site58_bit12_trial2.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_screen_20260723T160500Z/comparisons/SUP009_layout_site58_bit12_trial2.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/layout/site58_bit12_trial2.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_screen_20260723T160500Z/local_dumps/layout/site58_bit12_trial2.err
