screen_id,screen_kind,bench,original_site_id,bit_index,value_bitwidth,original_result,semantic_match_key,opcode,canonical_line,trials
SUP001,DUE,matrix-rotate,140,31,32,,356221f091c4|load|int|32|value|-1|7,load,for(int i = first; i < last; ++i) {,2
SUP002,DUE,matrix-rotate,140,13,32,,356221f091c4|load|int|32|value|-1|7,load,for(int i = first; i < last; ++i) {,2
SUP003,DUE,layout,134,0,32,,{|res += trees[gid].apples[i];|}|add|int|32|value,add,res += trees[gid].apples[i];,2
SUP004,DUE,dense-embedding,147,11,32,,for (int idx = tid; idx < embedding_dim; idx += grain_size) {|T dense_elem = dense[batch_idx * embedding_dim + idx];|for (int nested_idx = idx; nested_idx < range; nested_idx += embedding_dim) {|add|int|32|value,add,T dense_elem = dense[batch_idx * embedding_dim + idx];,2
SUP005,DUE,dense-embedding,114,7,32,,int range = offset[batch_idx + 1] - offset[batch_idx];|add|int|32|value,add,int range = offset[batch_idx + 1] - offset[batch_idx];,2
SUP006,DUE,entropy,143,0,32,,char count[16];|for (int i = 0; i < 16; i++) count[i] = 0;|char total = 0;|add|int|32|value,add,for (int i = 0; i < 16; i++) count[i] = 0;,2
SUP007,DUE,entropy,135,0,1,,char count[16];|for (int i = 0; i < 16; i++) count[i] = 0;|char total = 0;|icmp|int|1|value,icmp,for (int i = 0; i < 16; i++) count[i] = 0;,2
SUP008,SDC_MASKED,matrix-rotate,124,0,1,,if (layer < n/2) {|icmp|int|1|value,icmp,if (layer < n/2) {,2
SUP009,SDC_MASKED,layout,174,12,32,,33dcf2732312|load|int|32|value|-1|4,load,res += applesOnTrees[i].trees[gid];,2
SUP010,SDC_MASKED,dense-embedding,376,0,32,,T input_elem = input[start + idx];|T dense_elem = dense[batch_idx * embedding_dim + idx % embedding_dim];|output[start + idx] = input_elem + dense_elem;|add|int|32|value,add,T dense_elem = dense[batch_idx * embedding_dim + idx % embedding_dim];,2
SUP011,SDC_MASKED,entropy,225,10,32,,cd1c2c6965d0|sext|int|32|value|-1|1,sext,if (total < 1) {,2
