screen_id,bench,site_id,bit_index,trial,original_site_id,runner_result,screen_result,exit_code,driver_exit,dump,stdout,stderr,details
DUE006,colorwheel,1,12,1,1,SDC,SDC,0,0,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/colorwheel_site1_bit12.bin,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site1_bit12.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site1_bit12.err,dump comparison exact differed
DUE006,colorwheel,1,12,2,1,SDC,SDC,0,0,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/colorwheel_site1_bit12_trial2.bin,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site1_bit12_trial2.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site1_bit12_trial2.err,dump comparison exact differed
DUE007,colorwheel,160,62,1,160,MASKED,MASKED,0,0,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/colorwheel_site160_bit62.bin,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site160_bit62.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site160_bit62.err,dump comparison exact matched
DUE007,colorwheel,160,62,2,160,MASKED,MASKED,0,0,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/colorwheel_site160_bit62_trial2.bin,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site160_bit62_trial2.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site160_bit62_trial2.err,dump comparison exact matched
DUE008,colorwheel,17,1,1,17,SDC,SDC,0,0,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/colorwheel_site17_bit1.bin,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site17_bit1.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site17_bit1.err,dump comparison exact differed
DUE008,colorwheel,17,1,2,17,SDC,SDC,0,0,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/colorwheel_site17_bit1_trial2.bin,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site17_bit1_trial2.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site17_bit1_trial2.err,dump comparison exact differed
DUE009,colorwheel,183,10,1,183,MASKED,MASKED,0,0,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/colorwheel_site183_bit10.bin,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site183_bit10.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site183_bit10.err,dump comparison exact matched
DUE009,colorwheel,183,10,2,183,MASKED,MASKED,0,0,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/colorwheel_site183_bit10_trial2.bin,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site183_bit10_trial2.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site183_bit10_trial2.err,dump comparison exact matched
DUE010,colorwheel,181,8,1,181,SDC,SDC,0,0,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/colorwheel_site181_bit8.bin,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site181_bit8.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site181_bit8.err,dump comparison exact differed
DUE010,colorwheel,181,8,2,181,SDC,SDC,0,0,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/colorwheel_site181_bit8_trial2.bin,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site181_bit8_trial2.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/colorwheel/site181_bit8_trial2.err,dump comparison exact differed
DUE011,randomAccess,117,0,1,117,FAILURE,DUE,124,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/randomAccess/site117_bit0.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/randomAccess/site117_bit0.err,timeout
DUE011,randomAccess,117,0,2,117,FAILURE,DUE,124,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/randomAccess/site117_bit0_trial2.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/randomAccess/site117_bit0_trial2.err,timeout
DUE012,randomAccess,102,0,1,102,SDC,SDC,1,0,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/randomAccess/randomAccess_site102_bit0.bin,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/randomAccess/site102_bit0.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/randomAccess/site102_bit0.err,dump comparison exact differed
DUE012,randomAccess,102,0,2,102,SDC,SDC,1,0,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/randomAccess/randomAccess_site102_bit0_trial2.bin,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/randomAccess/site102_bit0_trial2.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/due_screen/nvidia_due_screen_20260722T173810Z/randomAccess/site102_bit0_trial2.err,dump comparison exact differed
