trace_case_id,batch_id,machine,bench,site_id,bit_index,expected_rerun_result,divergence_pattern,nvidia_site_id,intel_site_id,amd_site_id,nvidia_rerun_result,intel_rerun_result,amd_rerun_result,trace_level,debug_level,run_mode,notes
TRACE001,batch01_survey_10,nvidia,colorwheel,20,2,SDC,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,20,75,141,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE003,batch01_survey_10,nvidia,colorwheel,22,2,SDC,NVIDIA=SDC;INTEL=MASKED;AMD=SDC,22,77,145,SDC,MASKED,SDC,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE005,batch01_survey_10,nvidia,colorwheel,24,0,SDC,NVIDIA=SDC;INTEL=MASKED;AMD=MASKED,24,79,149,SDC,MASKED,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE009,batch01_survey_10,nvidia,colorwheel,7,1,SDC,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,7,210,115,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE010,batch01_survey_10,nvidia,randomAccess,102,1,SDC,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,102,61,320,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE012,batch01_survey_10,nvidia,randomAccess,19,0,SDC,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,19,95,139,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE013,batch01_survey_10,nvidia,randomAccess,18,7,MASKED,NVIDIA=MASKED;INTEL=MASKED;AMD=SDC,18,94,137,MASKED,MASKED,SDC,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE018,batch01_survey_10,nvidia,randomAccess,70,63,SDC,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,70,146,247,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE026,batch01_survey_10,nvidia,pathfinder,116,3,MASKED,NVIDIA=MASKED;INTEL=SDC;AMD=MASKED,116,132,350,MASKED,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE028,batch01_survey_10,nvidia,pathfinder,9,3,MASKED,NVIDIA=MASKED;INTEL=SDC;AMD=MASKED,9,25,123,MASKED,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
