sequence,screen_id,screen_kind,bench,site_id,bit_index,trial,original_site_id,original_result
1,SUP001,DUE,matrix-rotate,16,31,1,16,DUE
2,SUP001,DUE,matrix-rotate,16,31,2,16,DUE
3,SUP002,DUE,matrix-rotate,16,13,1,16,SDC
4,SUP002,DUE,matrix-rotate,16,13,2,16,SDC
5,SUP003,DUE,layout,14,0,1,14,MASKED
6,SUP003,DUE,layout,14,0,2,14,MASKED
7,SUP004,DUE,dense-embedding,44,11,1,44,DUE
8,SUP004,DUE,dense-embedding,44,11,2,44,DUE
9,SUP005,DUE,dense-embedding,47,7,1,47,DUE
10,SUP005,DUE,dense-embedding,47,7,2,47,DUE
11,SUP006,DUE,entropy,22,0,1,22,DUE
12,SUP006,DUE,entropy,22,0,2,22,DUE
13,SUP007,DUE,entropy,18,0,1,18,MASKED
14,SUP007,DUE,entropy,18,0,2,18,MASKED
15,SUP008,SDC_MASKED,matrix-rotate,9,0,1,9,MASKED
16,SUP008,SDC_MASKED,matrix-rotate,9,0,2,9,MASKED
17,SUP009,SDC_MASKED,layout,31,12,1,31,SDC
18,SUP009,SDC_MASKED,layout,31,12,2,31,SDC
19,SUP010,SDC_MASKED,dense-embedding,128,0,1,128,SDC
20,SUP010,SDC_MASKED,dense-embedding,128,0,2,128,SDC
21,SUP011,SDC_MASKED,entropy,60,10,1,60,MASKED
22,SUP011,SDC_MASKED,entropy,60,10,2,60,MASKED
