screen_id,screen_kind,bench,site_id,bit_index,trial,original_site_id,runner_result,screen_result,exit_code,driver_exit,dump,stdout,stderr,details
SUP004,DUE,dense-embedding,44,11,1,44,SDC,DUE,124,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/dense-embedding/site44_bit11.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/dense-embedding/site44_bit11.err,runtime timeout
SUP004,DUE,dense-embedding,44,11,2,44,SDC,DUE,124,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/dense-embedding/site44_bit11_trial2.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/dense-embedding/site44_bit11_trial2.err,runtime timeout
SUP005,DUE,dense-embedding,47,7,1,47,SDC,DUE,124,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/dense-embedding/site47_bit7.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/dense-embedding/site47_bit7.err,runtime timeout
SUP005,DUE,dense-embedding,47,7,2,47,SDC,DUE,124,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/dense-embedding/site47_bit7_trial2.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/dense-embedding/site47_bit7_trial2.err,runtime timeout
SUP010,SDC_MASKED,dense-embedding,128,0,1,128,SDC,SDC,0,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/dense-embedding/site128_bit0.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/dense-embedding/site128_bit0.err,exact dump comparison differed
SUP010,SDC_MASKED,dense-embedding,128,0,2,128,SDC,SDC,0,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/dense-embedding/site128_bit0_trial2.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/dense-embedding/site128_bit0_trial2.err,exact dump comparison differed
SUP006,DUE,entropy,22,0,1,22,FAILURE,DUE,124,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/entropy/site22_bit0.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/entropy/site22_bit0.err,runtime timeout
SUP006,DUE,entropy,22,0,2,22,FAILURE,DUE,124,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/entropy/site22_bit0_trial2.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/entropy/site22_bit0_trial2.err,runtime timeout
SUP007,DUE,entropy,18,0,1,18,MASKED,MASKED,0,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/entropy/site18_bit0.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/entropy/site18_bit0.err,exact dump comparison matched
SUP007,DUE,entropy,18,0,2,18,MASKED,MASKED,0,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/entropy/site18_bit0_trial2.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/entropy/site18_bit0_trial2.err,exact dump comparison matched
SUP011,SDC_MASKED,entropy,60,10,1,60,MASKED,MASKED,0,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/entropy/site60_bit10.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/entropy/site60_bit10.err,exact dump comparison matched
SUP011,SDC_MASKED,entropy,60,10,2,60,MASKED,MASKED,0,0,,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/entropy/site60_bit10_trial2.out,/home/mdunlavy/GPU_FI_semantic_crosswalk/divergence_cases/supplemental_screen/nvidia_supplemental_20260722T222911Z_debug_nodumps/entropy/site60_bit10_trial2.err,exact dump comparison matched
