mode,bench,site_id,bit_index,trial,result,process_exit,timeout,benchmark_status,dump_exists,dump_compare,site_class,opcode,type_kind,bitwidth,mutated_ir_instruction,trace_dir
injected_ir,colorwheel,103,0,1,SDC,0,0,FAIL,1,fail,result,load,int,32,"%fi_flip = xor i1 %115, true, !dbg !1889 || br i1 %fi_flip, label %116, label %127, !dbg !1889",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/colorwheel/float/trace_site103_bit0
injected_ir,colorwheel,103,0,2,SDC,0,0,FAIL,1,fail,result,load,int,32,"%fi_flip = xor i1 %115, true, !dbg !1889 || br i1 %fi_flip, label %116, label %127, !dbg !1889",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/colorwheel/float/trace_site103_bit0_trial2
injected_ir,colorwheel,439,2,1,MASKED,0,0,PASS,1,pass,operand,sitofp,int,32,"%fi_op_xor = xor i1 %119, true || br i1 %fi_op_xor, label %120, label %115",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/colorwheel/float/trace_site439_bit2
injected_ir,colorwheel,439,2,2,MASKED,0,0,PASS,1,pass,operand,sitofp,int,32,"%fi_op_xor = xor i1 %119, true || br i1 %fi_op_xor, label %120, label %115",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/colorwheel/float/trace_site439_bit2_trial2
injected_ir,colorwheel,481,3,1,MASKED,0,0,PASS,1,pass,result,load,int,32,"%fi_flip = xor i32 %139, 8 || %140 = zext nneg i32 %fi_flip to i64",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/colorwheel/float/trace_site481_bit3
injected_ir,colorwheel,481,3,2,MASKED,0,0,PASS,1,pass,result,load,int,32,"%fi_flip = xor i32 %139, 8 || %140 = zext nneg i32 %fi_flip to i64",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/colorwheel/float/trace_site481_bit3_trial2
injected_ir,dense-embedding,362,0,1,MASKED,0,0,PASS,1,pass,result,load,int,32,"%fi_flip = xor i8 %121, 1 || %122 = zext i8 %fi_flip to i64",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/dense-embedding/float/trace_site362_bit0
injected_ir,dense-embedding,362,0,2,MASKED,0,0,PASS,1,pass,result,load,int,32,"%fi_flip = xor i8 %121, 1 || %122 = zext i8 %fi_flip to i64",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/dense-embedding/float/trace_site362_bit0_trial2
injected_ir,dense-embedding,362,24,1,SDC,137,1,unknown,1,fail,result,load,int,32,"%fi_flip = xor i8 %121, -128 || %122 = zext i8 %fi_flip to i64",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/dense-embedding/float/trace_site362_bit24
injected_ir,dense-embedding,362,24,2,SDC,137,1,unknown,1,fail,result,load,int,32,"%fi_flip = xor i8 %121, -128 || %122 = zext i8 %fi_flip to i64",/ccs/home/mdunlavy/GPU_Fault_Injection/HeCBench/results/divergence_failure_audit_frontier_v1/amd/injected_ir/dense-embedding/float/trace_site362_bit24_trial2
