worklist_id,bench,site_id,bit_index,comparison,expected_original_result,match_tier,baseline_status,runner_result,runner_exit_code,runner_stdout,runner_stderr,runner_dump,notes
19,colorwheel,79,0,all_three_anchor,SDC,family_full,pass,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site79_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site79_bit0.err,,
20,colorwheel,79,4,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site79_bit4.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site79_bit4.err,,
21,colorwheel,146,2,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site146_bit2.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site146_bit2.err,,
22,colorwheel,146,6,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site146_bit6.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site146_bit6.err,,
23,colorwheel,147,7,all_three_anchor,SDC,family_full,pass,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site147_bit7.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site147_bit7.err,,
24,colorwheel,210,1,all_three_anchor,SDC,family_full,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site210_bit1.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/colorwheel/site210_bit1.err,,
25,randomAccess,59,0,all_three_or_pairwise_anchor,SDC,family_full,pass,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site59_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site59_bit0.err,,
26,randomAccess,61,1,all_three_or_pairwise_anchor,SDC,source_context_type_family,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site61_bit1.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site61_bit1.err,,
27,randomAccess,61,2,all_three_or_pairwise_anchor,SDC,source_context_type_family,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site61_bit2.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site61_bit2.err,,
28,randomAccess,76,0,all_three_or_pairwise_anchor,SDC,family_full,pass,FAILURE,124,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site76_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site76_bit0.err,,
29,randomAccess,95,0,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site95_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site95_bit0.err,,
30,randomAccess,92,0,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site92_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site92_bit0.err,,
31,randomAccess,92,1,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site92_bit1.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site92_bit1.err,,
32,randomAccess,94,7,all_three_or_pairwise_anchor,SDC,,pass,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site94_bit7.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site94_bit7.err,,
33,randomAccess,94,8,all_three_or_pairwise_anchor,SDC,,pass,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site94_bit8.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site94_bit8.err,,
34,randomAccess,98,0,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site98_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site98_bit0.err,,
35,randomAccess,98,1,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site98_bit1.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site98_bit1.err,,
36,randomAccess,96,0,all_three_or_pairwise_anchor,SDC,,pass,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site96_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site96_bit0.err,,
37,randomAccess,96,1,all_three_or_pairwise_anchor,SDC,,pass,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site96_bit1.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site96_bit1.err,,
38,randomAccess,147,0,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site147_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site147_bit0.err,,
39,randomAccess,144,0,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site144_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site144_bit0.err,,
40,randomAccess,144,1,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site144_bit1.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site144_bit1.err,,
41,randomAccess,146,63,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site146_bit63.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site146_bit63.err,,
42,randomAccess,149,0,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site149_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site149_bit0.err,,
43,randomAccess,149,1,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site149_bit1.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site149_bit1.err,,
44,randomAccess,145,0,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site145_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site145_bit0.err,,
45,randomAccess,145,1,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site145_bit1.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site145_bit1.err,,
46,randomAccess,150,0,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site150_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site150_bit0.err,,
47,randomAccess,150,1,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site150_bit1.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site150_bit1.err,,
48,randomAccess,90,0,all_three_or_pairwise_anchor,MASKED,,pass,SDC,1,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site90_bit0.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/randomAccess/site90_bit0.err,,
49,pathfinder,153,3,nvidia_vs_intel,SDC,,pass,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site153_bit3.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site153_bit3.err,,
50,pathfinder,153,17,nvidia_vs_intel,SDC,,pass,MASKED,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site153_bit17.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site153_bit17.err,,
51,pathfinder,132,3,nvidia_vs_intel,MASKED,,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site132_bit3.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site132_bit3.err,,
52,pathfinder,132,17,nvidia_vs_intel,MASKED,,pass,SDC,134,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site132_bit17.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site132_bit17.err,,
53,pathfinder,25,3,nvidia_vs_intel,SDC,,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site25_bit3.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site25_bit3.err,,
54,pathfinder,25,31,nvidia_vs_intel,SDC,,pass,SDC,0,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site25_bit31.out,/home/mdunlavy/GPU_FI/HeCBench/results/intel_divergence_full_debug_20260721T185946Z/benchmarks/pathfinder/site25_bit31.err,,
