trace_case_id,benchmark,phase,trial,path,bytes,sha256,basename
TRACE006,colorwheel,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site69_bit4_trial2.bin,200,b99221138493bb6dca19b3dad686ecad40e9d3da6695974249cd49a6e986ead7,colorwheel_site69_bit4_trial2.bin
TRACE007,colorwheel,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site139_bit2.bin,200,edf3dc1bcc176a74a4484b4419f193506ab67b79c77154ad45484604066db6f6,colorwheel_site139_bit2.bin
TRACE007,colorwheel,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site139_bit2_trial2.bin,200,edf3dc1bcc176a74a4484b4419f193506ab67b79c77154ad45484604066db6f6,colorwheel_site139_bit2_trial2.bin
TRACE008,colorwheel,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site140_bit7.bin,200,b208b511c6379340351184961af60f70335d2a6f98692960c50dc4b1a4e88224,colorwheel_site140_bit7.bin
TRACE008,colorwheel,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site140_bit7_trial2.bin,200,b208b511c6379340351184961af60f70335d2a6f98692960c50dc4b1a4e88224,colorwheel_site140_bit7_trial2.bin
TRACE009,colorwheel,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site52_bit1.bin,200,a104cb0dcfac398bdfef0b6ce36f99f8e445923ed169875b0e76b4270eb0f4f1,colorwheel_site52_bit1.bin
TRACE009,colorwheel,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site52_bit1_trial2.bin,200,a104cb0dcfac398bdfef0b6ce36f99f8e445923ed169875b0e76b4270eb0f4f1,colorwheel_site52_bit1_trial2.bin
TRACE010,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site151_bit1.bin,536870912,66f21460b2dac8b25228e51acfa9b242f5b5a72d74160944cbdfafc16917fa65,randomAccess_site151_bit1.bin
TRACE010,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site151_bit1_trial2.bin,536870912,66f21460b2dac8b25228e51acfa9b242f5b5a72d74160944cbdfafc16917fa65,randomAccess_site151_bit1_trial2.bin
TRACE011,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site151_bit2.bin,536870912,66f21460b2dac8b25228e51acfa9b242f5b5a72d74160944cbdfafc16917fa65,randomAccess_site151_bit2.bin
TRACE011,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site151_bit2_trial2.bin,536870912,66f21460b2dac8b25228e51acfa9b242f5b5a72d74160944cbdfafc16917fa65,randomAccess_site151_bit2_trial2.bin
TRACE012,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site64_bit0.bin,536870912,8324940834983e0ef6059baa446ccaa8e78ee9a6cf73bbe3899b495e964c4f85,randomAccess_site64_bit0.bin
TRACE012,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site64_bit0_trial2.bin,536870912,8324940834983e0ef6059baa446ccaa8e78ee9a6cf73bbe3899b495e964c4f85,randomAccess_site64_bit0_trial2.bin
TRACE013,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site63_bit7.bin,536870912,a58ee122c3a81943a98fc8cef7849fcba68cbd2a8d29ce3b894e5578205a864f,randomAccess_site63_bit7.bin
TRACE013,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site63_bit7_trial2.bin,536870912,a58ee122c3a81943a98fc8cef7849fcba68cbd2a8d29ce3b894e5578205a864f,randomAccess_site63_bit7_trial2.bin
TRACE014,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site63_bit8.bin,536870912,a58ee122c3a81943a98fc8cef7849fcba68cbd2a8d29ce3b894e5578205a864f,randomAccess_site63_bit8.bin
TRACE014,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site63_bit8_trial2.bin,536870912,a58ee122c3a81943a98fc8cef7849fcba68cbd2a8d29ce3b894e5578205a864f,randomAccess_site63_bit8_trial2.bin
TRACE015,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site116_bit0.bin,536870912,58fdfe12723a8fae85b43a4b102005b09ba169cf4586a6edbf982bcc14c6d0b0,randomAccess_site116_bit0.bin
TRACE015,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site116_bit0_trial2.bin,536870912,58fdfe12723a8fae85b43a4b102005b09ba169cf4586a6edbf982bcc14c6d0b0,randomAccess_site116_bit0_trial2.bin
TRACE016,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site113_bit0.bin,536870912,bc3a91a2d69c13839e6ad7596e7f6ddc3b0259c34e136bef4828fcf8ccafa576,randomAccess_site113_bit0.bin
TRACE016,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site113_bit0_trial2.bin,536870912,bc3a91a2d69c13839e6ad7596e7f6ddc3b0259c34e136bef4828fcf8ccafa576,randomAccess_site113_bit0_trial2.bin
TRACE017,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site113_bit1.bin,536870912,4b8ae7b99f84938dd360c207d1ec47c56755805b177a689aae2fab00b188f167,randomAccess_site113_bit1.bin
TRACE017,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site113_bit1_trial2.bin,536870912,4b8ae7b99f84938dd360c207d1ec47c56755805b177a689aae2fab00b188f167,randomAccess_site113_bit1_trial2.bin
TRACE018,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site115_bit63.bin,536870912,58fdfe12723a8fae85b43a4b102005b09ba169cf4586a6edbf982bcc14c6d0b0,randomAccess_site115_bit63.bin
TRACE018,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site115_bit63_trial2.bin,536870912,58fdfe12723a8fae85b43a4b102005b09ba169cf4586a6edbf982bcc14c6d0b0,randomAccess_site115_bit63_trial2.bin
TRACE019,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site118_bit0.bin,536870912,4e478d800241612ba13551c8001b78ada80f4eb93c40199032f21f91195d9628,randomAccess_site118_bit0.bin
TRACE019,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site118_bit0_trial2.bin,536870912,4e478d800241612ba13551c8001b78ada80f4eb93c40199032f21f91195d9628,randomAccess_site118_bit0_trial2.bin
TRACE020,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site118_bit1.bin,536870912,bc3a91a2d69c13839e6ad7596e7f6ddc3b0259c34e136bef4828fcf8ccafa576,randomAccess_site118_bit1.bin
TRACE020,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site118_bit1_trial2.bin,536870912,bc3a91a2d69c13839e6ad7596e7f6ddc3b0259c34e136bef4828fcf8ccafa576,randomAccess_site118_bit1_trial2.bin
TRACE021,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site114_bit0.bin,536870912,4e478d800241612ba13551c8001b78ada80f4eb93c40199032f21f91195d9628,randomAccess_site114_bit0.bin
TRACE021,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site114_bit0_trial2.bin,536870912,4e478d800241612ba13551c8001b78ada80f4eb93c40199032f21f91195d9628,randomAccess_site114_bit0_trial2.bin
TRACE022,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site114_bit1.bin,536870912,bc3a91a2d69c13839e6ad7596e7f6ddc3b0259c34e136bef4828fcf8ccafa576,randomAccess_site114_bit1.bin
TRACE022,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site114_bit1_trial2.bin,536870912,bc3a91a2d69c13839e6ad7596e7f6ddc3b0259c34e136bef4828fcf8ccafa576,randomAccess_site114_bit1_trial2.bin
TRACE023,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site119_bit0.bin,536870912,4e478d800241612ba13551c8001b78ada80f4eb93c40199032f21f91195d9628,randomAccess_site119_bit0.bin
TRACE023,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site119_bit0_trial2.bin,536870912,4e478d800241612ba13551c8001b78ada80f4eb93c40199032f21f91195d9628,randomAccess_site119_bit0_trial2.bin
TRACE024,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site119_bit1.bin,536870912,bc3a91a2d69c13839e6ad7596e7f6ddc3b0259c34e136bef4828fcf8ccafa576,randomAccess_site119_bit1.bin
TRACE024,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site119_bit1_trial2.bin,536870912,bc3a91a2d69c13839e6ad7596e7f6ddc3b0259c34e136bef4828fcf8ccafa576,randomAccess_site119_bit1_trial2.bin
TRACE025,randomAccess,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site59_bit0.bin,536870912,95630a135e980ccd2249b6b4b43f955b5461b7d8334556c340d2e6c20146bf12,randomAccess_site59_bit0.bin
TRACE025,randomAccess,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/randomAccess/randomAccess_site59_bit0_trial2.bin,536870912,95630a135e980ccd2249b6b4b43f955b5461b7d8334556c340d2e6c20146bf12,randomAccess_site59_bit0_trial2.bin
