site_id,opcode,site_class,type_kind,bitwidth,operand_index
1843,zext,operand,int,8,0
1844,shl,int,int,64,-1
1845,shl,operand,int,64,0
1846,shl,operand,int,64,1
1847,or,int,int,64,-1
1848,or,operand,int,64,0
1849,or,operand,int,64,1
1850,getelementptr,pointer,pointer,64,-1
1851,getelementptr,pointer,pointer,64,0
1852,getelementptr,operand,int,64,1
1853,load,int,int,8,-1
1854,load,pointer,pointer,64,0
1855,zext,int,int,64,-1
1856,zext,operand,int,8,0
1857,shl,int,int,64,-1
1858,shl,operand,int,64,0
1859,shl,operand,int,64,1
1860,or,int,int,64,-1
1861,or,operand,int,64,0
1862,or,operand,int,64,1
1863,getelementptr,pointer,pointer,64,-1
1864,getelementptr,pointer,pointer,64,0
1865,getelementptr,operand,int,64,1
1866,load,int,int,8,-1
1867,load,pointer,pointer,64,0
1868,zext,int,int,64,-1
1869,zext,operand,int,8,0
1870,shl,int,int,64,-1
1871,shl,operand,int,64,0
1872,shl,operand,int,64,1
1873,or,int,int,64,-1
1874,or,operand,int,64,0
1875,or,operand,int,64,1
1876,getelementptr,pointer,pointer,64,-1
1877,getelementptr,pointer,pointer,64,0
1878,getelementptr,operand,int,64,1
1879,load,int,int,8,-1
1880,load,pointer,pointer,64,0
1881,zext,int,int,64,-1
1882,zext,operand,int,8,0
1883,shl,int,int,64,-1
1884,shl,operand,int,64,0
1885,shl,operand,int,64,1
1886,or,int,int,64,-1
1887,or,operand,int,64,0
1888,or,operand,int,64,1
1889,getelementptr,pointer,pointer,64,-1
1890,getelementptr,pointer,pointer,64,0
1891,getelementptr,operand,int,64,1
1892,load,int,int,8,-1
1893,load,pointer,pointer,64,0
1894,zext,int,int,64,-1
1895,zext,operand,int,8,0
1896,shl,int,int,64,-1
1897,shl,operand,int,64,0
1898,shl,operand,int,64,1
1899,or,int,int,64,-1
1900,or,operand,int,64,0
1901,or,operand,int,64,1
1902,add,int,int,32,-1
1903,add,operand,int,32,0
1904,add,operand,int,32,1
1905,getelementptr,pointer,pointer,64,-1
1906,getelementptr,pointer,pointer,64,0
1907,getelementptr,operand,int,64,1
1908,phi,int,int,32,-1
1909,phi,operand,int,32,0
1910,phi,operand,int,32,1
1911,phi,int,int,64,-1
1912,phi,operand,int,64,0
1913,phi,operand,int,64,1
1914,zext,int,int,64,-1
1915,zext,operand,int,32,0
1916,getelementptr,pointer,pointer,64,-1
1917,getelementptr,pointer,pointer,64,0
1918,getelementptr,operand,int,64,1
1919,load,int,int,8,-1
1920,load,pointer,pointer,64,0
1921,zext,int,int,64,-1
1922,zext,operand,int,8,0
1923,shl,int,int,32,-1
1924,shl,operand,int,32,0
1925,shl,operand,int,32,1
1926,zext,int,int,64,-1
1927,zext,operand,int,32,0
1928,shl,int,int,64,-1
1929,shl,operand,int,64,0
1930,shl,operand,int,64,1
1931,or,int,int,64,-1
1932,or,operand,int,64,0
1933,or,operand,int,64,1
1934,add,int,int,32,-1
1935,add,operand,int,32,0
1936,add,operand,int,32,1
1937,icmp,int,int,1,-1
1938,icmp,operand,int,32,0
1939,icmp,operand,int,32,1
1940,br,operand,int,1,0
1941,phi,pointer,pointer,64,-1
1942,phi,pointer,pointer,64,0
1943,phi,pointer,pointer,64,1
1944,phi,pointer,pointer,64,2
1945,phi,int,int,32,-1
1946,phi,operand,int,32,0
1947,phi,operand,int,32,1
1948,phi,operand,int,32,2
1949,phi,int,int,64,-1
1950,phi,operand,int,64,0
1951,phi,operand,int,64,1
1952,phi,operand,int,64,2
1953,icmp,int,int,1,-1
1954,icmp,operand,int,32,0
1955,icmp,operand,int,32,1
1956,br,operand,int,1,0
1957,icmp,int,int,1,-1
1958,icmp,operand,int,32,0
1959,icmp,operand,int,32,1
1960,br,operand,int,1,0
1961,load,int,int,8,-1
