bench,category,source_path,copied_path,rows,header,sha256,regenerated
colorwheel,benchmark_local_summary,HeCBench/results/llvm17_inject/colorwheel/operand/summary.csv,divergence_cases/original_campaign/intel/colorwheel/summary_operand.csv,6580,"site_id,bit_index,result,taxonomy,exit_code,failure_kind,failure_signal,stdout,stderr,dump,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_ham_bits,metric_ham_bytes,metric_size_bytes",e5ebe23f59d8c0badc244bf6b33d0c2fb32ebf9c6e8f3cdb67c81355ea320110,false
colorwheel,benchmark_local_summary,HeCBench/results/llvm17_inject/colorwheel/pointer/summary.csv,divergence_cases/original_campaign/intel/colorwheel/summary_pointer.csv,11264,"site_id,bit_index,result,taxonomy,exit_code,failure_kind,failure_signal,stdout,stderr,dump,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_ham_bits,metric_ham_bytes,metric_size_bytes",381689997e2bc5d62f95a07fb6217a0de2849c6119ec964e09ece829d0776bad,false
colorwheel,worklist,HeCBench/results/llvm17_inject/colorwheel-sycl/worklist.csv,divergence_cases/original_campaign/intel/colorwheel/worklist.csv,34718,"index,site_id,bit_index,bitwidth,type_kind,opcode,site_class,operand_index",307ae0c1f81c5193d0f99192f198204b1384da0f89a20355ca0b091d7b9a5412,false
colorwheel,worklist,HeCBench/results/llvm17_inject/colorwheel-sycl/worklist_missing.csv,divergence_cases/original_campaign/intel/colorwheel/worklist_missing.csv,277,"index,site_id,bit_index,bitwidth,type_kind,opcode,site_class,operand_index",1d896dd501a6971354a11e59c995c9ca766353b4abcb979be43f60f7a48c2c75,false
dense-embedding,normalized_sycl_results,HeCBench/results/llvm17_inject/dense-embedding-sycl/normalized_results.csv,divergence_cases/original_campaign/intel/dense-embedding/normalized_results.csv,43447,"site_id,bit_index,raw_result,normalized_result,has_out,has_err",4c40f30612dfeeb26212c487858c877965e426f0f18750a3bc9cca9d4b959ff2,false
dense-embedding,normalized_sycl_results,HeCBench/results/llvm17_inject/dense-embedding-sycl/normalized_results_20260315a.csv,divergence_cases/original_campaign/intel/dense-embedding/normalized_results_20260315a.csv,43447,"site_id,bit_index,raw_result,normalized_result,has_out,has_err",4c40f30612dfeeb26212c487858c877965e426f0f18750a3bc9cca9d4b959ff2,false
dense-embedding,normalized_sycl_results,HeCBench/results/llvm17_inject/dense-embedding-sycl/normalized_results_20260315b.csv,divergence_cases/original_campaign/intel/dense-embedding/normalized_results_20260315b.csv,43469,"site_id,bit_index,raw_result,normalized_result,exit_code,dump_present,failure_kind,failure_signal,site_class,operand_index,opcode,type_kind,bitwidth,function,source_file,source_line,source_column,signature_ordinal,semantic_key,phase,has_out,has_err,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_size_bytes",50fb551543582376e0f3ae0e68012d6c94a632575d8252c69d16f9045b0700f3,false
dense-embedding,normalized_sycl_results,HeCBench/results/llvm17_inject/dense-embedding-sycl/normalized_results_20260315c.csv,divergence_cases/original_campaign/intel/dense-embedding/normalized_results_20260315c.csv,43469,"site_id,bit_index,raw_result,normalized_result,exit_code,dump_present,failure_kind,failure_signal,site_class,operand_index,opcode,type_kind,bitwidth,function,source_file,source_line,source_column,signature_ordinal,semantic_key,phase,has_out,has_err,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_size_bytes",50fb551543582376e0f3ae0e68012d6c94a632575d8252c69d16f9045b0700f3,false
dense-embedding,normalized_sycl_results,HeCBench/results/llvm17_inject/dense-embedding-sycl/normalized_results_20260316a.csv,divergence_cases/original_campaign/intel/dense-embedding/normalized_results_20260316a.csv,43469,"site_id,bit_index,raw_result,normalized_result,exit_code,dump_present,failure_kind,failure_signal,site_class,operand_index,opcode,type_kind,bitwidth,function,source_file,source_line,source_column,signature_ordinal,semantic_key,phase,has_out,has_err,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_size_bytes",ac7bfbdfe5bd50d3595f9fda71d4e5ca33e5dc798beea38bd2755aed2a7caea8,false
dense-embedding,normalized_sycl_results,HeCBench/results/llvm17_inject/dense-embedding-sycl/normalized_results_20260330a.csv,divergence_cases/original_campaign/intel/dense-embedding/normalized_results_20260330a.csv,43469,"site_id,bit_index,raw_result,normalized_result,exit_code,dump_present,failure_kind,failure_signal,site_class,operand_index,opcode,type_kind,bitwidth,function,source_file,source_line,source_column,signature_ordinal,semantic_key,phase,has_out,has_err,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_size_bytes",ac7bfbdfe5bd50d3595f9fda71d4e5ca33e5dc798beea38bd2755aed2a7caea8,false
